bri,mired,watt
51,433,1.22
51,443,1.23
51,453,1.26
51,454,1.25
56,153,1.26
56,163,1.26
56,173,1.27
56,183,1.3
56,193,1.32
56,203,1.31
56,213,1.31
56,223,1.32
56,233,1.34
56,243,1.32
56,253,1.33
56,263,1.32
56,273,1.34
56,283,1.34
56,293,1.33
56,303,1.33
56,313,1.32
56,323,1.33
56,333,1.35
56,343,1.34
56,353,1.33
56,363,1.35
56,373,1.3
56,383,1.33
56,393,1.32
56,403,1.27
56,413,1.29
56,423,1.25
56,433,1.25
56,443,1.24
56,453,1.25
56,454,1.25
61,153,1.29
61,163,1.3
61,173,1.3
61,183,1.32
61,193,1.3
61,203,1.33
61,213,1.34
61,223,1.33
61,233,1.38
61,243,1.37
61,253,1.39
61,263,1.39
61,273,1.39
61,283,1.38
61,293,1.36
61,303,1.39
61,313,1.38
61,323,1.39
61,333,1.37
61,343,1.39
61,353,1.39
61,363,1.41
61,373,1.4
61,383,1.35
61,393,1.34
61,403,1.36
61,413,1.37
61,423,1.3
61,433,1.3
61,443,1.29
61,453,1.3
61,454,1.25
66,153,1.34
66,163,1.31
66,173,1.3
66,183,1.34
66,193,1.34
66,203,1.34
66,213,1.37
66,223,1.4
66,233,1.44
66,243,1.42
66,253,1.43
66,263,1.43
66,273,1.46
66,283,1.43
66,293,1.45
66,303,1.42
66,313,1.43
66,323,1.44
66,333,1.39
66,343,1.41
66,353,1.41
66,363,1.46
66,373,1.48
66,383,1.4
66,393,1.41
66,403,1.41
66,413,1.36
66,423,1.35
66,433,1.35
66,443,1.32
66,453,1.28
66,454,1.29
71,153,1.34
71,163,1.38
71,173,1.36
71,183,1.4
71,193,1.42
71,203,1.43
71,213,1.43
71,223,1.47
71,233,1.48
71,243,1.45
71,253,1.44
71,263,1.49
71,273,1.51
71,283,1.53
71,293,1.51
71,303,1.5
71,313,1.48
71,323,1.5
71,333,1.48
71,343,1.51
71,353,1.51
71,363,1.5
71,373,1.51
71,383,1.44
71,393,1.43
71,403,1.45
71,413,1.43
71,423,1.42
71,433,1.35
71,443,1.35
71,453,1.34
71,454,1.33
76,153,1.39
76,163,1.41
76,173,1.43
76,183,1.47
76,193,1.45
76,203,1.47
76,213,1.5
76,223,1.5
76,233,1.51
76,243,1.56
76,253,1.56
76,263,1.55
76,273,1.56
76,283,1.55
76,293,1.57
76,303,1.59
76,313,1.56
76,323,1.56
76,333,1.55
76,343,1.57
76,353,1.55
76,363,1.56
76,373,1.55
76,383,1.53
76,393,1.53
76,403,1.48
76,413,1.47
76,423,1.42
76,433,1.39
76,443,1.4
76,453,1.38
76,454,1.38
81,153,1.48
81,163,1.47
81,173,1.48
81,183,1.52
81,193,1.52
81,203,1.54
81,213,1.55
81,223,1.54
81,233,1.55
81,243,1.59
81,253,1.63
81,263,1.61
81,273,1.62
81,283,1.64
81,293,1.63
81,303,1.62
81,313,1.59
81,323,1.6
81,333,1.62
81,343,1.61
81,353,1.64
81,363,1.61
81,373,1.62
81,383,1.61
81,393,1.58
81,403,1.57
81,413,1.58
81,423,1.5
81,433,1.48
81,443,1.44
81,453,1.43
81,454,1.42
86,153,1.53
86,163,1.51
86,173,1.53
86,183,1.52
86,193,1.52
86,203,1.6
86,213,1.59
86,223,1.63
86,233,1.63
86,243,1.69
86,253,1.68
86,263,1.7
86,273,1.75
86,283,1.7
86,293,1.7
86,303,1.68
86,313,1.72
86,323,1.75
86,333,1.72
86,343,1.71
86,353,1.71
86,363,1.73
86,373,1.73
86,383,1.7
86,393,1.68
86,403,1.6
86,413,1.59
86,423,1.6
86,433,1.56
86,443,1.54
86,453,1.5
86,454,1.46
91,153,1.58
91,163,1.57
91,173,1.59
91,183,1.64
91,193,1.63
91,203,1.65
91,213,1.66
91,223,1.69
91,233,1.73
91,243,1.73
91,253,1.75
91,263,1.75
91,273,1.75
91,283,1.77
91,293,1.77
91,303,1.77
91,313,1.8
91,323,1.76
91,333,1.77
91,343,1.77
91,353,1.77
91,363,1.76
91,373,1.79
91,383,1.77
91,393,1.73
91,403,1.69
91,413,1.61
91,423,1.62
91,433,1.6
91,443,1.57
91,453,1.54
91,454,1.54
96,153,1.65
96,163,1.64
96,173,1.67
96,183,1.68
96,193,1.71
96,203,1.71
96,213,1.75
96,223,1.77
96,233,1.76
96,243,1.79
96,253,1.85
96,263,1.85
96,273,1.86
96,283,1.89
96,293,1.83
96,303,1.86
96,313,1.8
96,323,1.84
96,333,1.83
96,343,1.82
96,353,1.82
96,363,1.88
96,373,1.86
96,383,1.83
96,393,1.81
96,403,1.74
96,413,1.74
96,423,1.68
96,433,1.66
96,443,1.61
96,453,1.59
96,454,1.53
101,153,1.71
101,163,1.7
101,173,1.72
101,183,1.71
101,193,1.75
101,203,1.78
101,213,1.77
101,223,1.79
101,233,1.86
101,243,1.86
101,253,1.91
101,263,1.94
101,273,1.95
101,283,1.95
101,293,1.95
101,303,1.94
101,313,1.89
101,323,1.93
101,333,1.91
101,343,1.94
101,353,1.93
101,363,1.94
101,373,1.94
101,383,1.91
101,393,1.83
101,403,1.84
101,413,1.79
101,423,1.73
101,433,1.69
101,443,1.69
101,453,1.66
101,454,1.6
106,153,1.72
106,163,1.75
106,173,1.75
106,183,1.75
106,193,1.82
106,203,1.86
106,213,1.87
106,223,1.95
106,233,1.95
106,243,1.98
106,253,2.0
106,263,2.02
106,273,2.05
106,283,2.04
106,293,2.01
106,303,2.0
106,313,2.05
106,323,2.02
106,333,2.05
106,343,2.04
106,353,2.02
106,363,2.04
106,373,2.04
106,383,2.02
106,393,1.97
106,403,1.95
106,413,1.89
106,423,1.83
106,433,1.74
106,443,1.75
106,453,1.72
106,454,1.68
111,153,1.82
111,163,1.84
111,173,1.9
111,183,1.91
111,193,1.9
111,203,1.93
111,213,1.97
111,223,2.0
111,233,2.06
111,243,2.06
111,253,2.12
111,263,2.15
111,273,2.17
111,283,2.1
111,293,2.09
111,303,2.1
111,313,2.12
111,323,2.09
111,333,2.1
111,343,2.12
111,353,2.1
111,363,2.1
111,373,2.13
111,383,2.08
111,393,2.08
111,403,2.0
111,413,1.94
111,423,1.94
111,433,1.81
111,443,1.79
111,453,1.74
111,454,1.71
116,153,1.84
116,163,1.9
116,173,1.92
116,183,1.98
116,193,2.02
116,203,2.01
116,213,2.04
116,223,2.11
116,233,2.12
116,243,2.16
116,253,2.23
116,263,2.21
116,273,2.22
116,283,2.23
116,293,2.21
116,303,2.23
116,313,2.22
116,323,2.24
116,333,2.23
116,343,2.23
116,353,2.23
116,363,2.23
116,373,2.23
116,383,2.18
116,393,2.13
116,403,2.08
116,413,2.06
116,423,1.97
116,433,1.91
116,443,1.94
116,453,1.84
116,454,1.8
121,153,1.94
121,163,1.93
121,173,1.98
121,183,2.05
121,193,2.08
121,203,2.12
121,213,2.16
121,223,2.19
121,233,2.19
121,243,2.23
121,253,2.31
121,263,2.35
121,273,2.35
121,283,2.35
121,293,2.29
121,303,2.31
121,313,2.31
121,323,2.29
121,333,2.33
121,343,2.33
121,353,2.34
121,363,2.33
121,373,2.33
121,383,2.31
121,393,2.23
121,403,2.19
121,413,2.12
121,423,2.06
121,433,2.06
121,443,1.93
121,453,1.86
121,454,1.86
126,153,2.05
126,163,2.05
126,173,2.08
126,183,2.08
126,193,2.1
126,203,2.19
126,213,2.2
126,223,2.28
126,233,2.3
126,243,2.4
126,253,2.41
126,263,2.43
126,273,2.46
126,283,2.42
126,293,2.41
126,303,2.42
126,313,2.38
126,323,2.38
126,333,2.4
126,343,2.44
126,353,2.45
126,363,2.44
126,373,2.45
126,383,2.4
126,393,2.33
126,403,2.23
126,413,2.21
126,423,2.15
126,433,2.08
126,443,1.98
126,453,1.95
126,454,1.93
131,153,2.1
131,163,2.1
131,173,2.16
131,183,2.17
131,193,2.23
131,203,2.24
131,213,2.3
131,223,2.35
131,233,2.46
131,243,2.46
131,253,2.5
131,263,2.5
131,273,2.52
131,283,2.49
131,293,2.5
131,303,2.52
131,313,2.5
131,323,2.5
131,333,2.52
131,343,2.48
131,353,2.48
131,363,2.46
131,373,2.48
131,383,2.51
131,393,2.4
131,403,2.29
131,413,2.28
131,423,2.21
